Time: 2024-05-12 13:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 353.7, 'Long wave outgoing solar radiation': 402.2, 'Global radiation': 229.3, 'Direct solar radiation': -3.3, 'Reflected radiation': 50.0, 'Sunshine duration': 0.0, 'Diffuse radiation': 243.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.2}
Time: 2024-05-12 13:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 354.9, 'Long wave outgoing solar radiation': 399.0, 'Global radiation': 184.9, 'Direct solar radiation': -0.4, 'Reflected radiation': 38.5, 'Sunshine duration': 0.0, 'Diffuse radiation': 193.1, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.9}
Time: 2024-05-12 13:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 354.4, 'Long wave outgoing solar radiation': 396.2, 'Global radiation': 203.1, 'Direct solar radiation': 2.3, 'Reflected radiation': 42.5, 'Sunshine duration': 0.0, 'Diffuse radiation': 213.0, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.0}
Time: 2024-05-12 13:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 350.0, 'Long wave outgoing solar radiation': 399.6, 'Global radiation': 255.1, 'Direct solar radiation': 2.5, 'Reflected radiation': 55.6, 'Sunshine duration': 0.0, 'Diffuse radiation': 273.0, 'Radiation balance': nan, 'Ultraviolet irradiance': 1.2}
Time: 2024-05-12 14:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 355.5, 'Long wave outgoing solar radiation': 392.1, 'Global radiation': 179.5, 'Direct solar radiation': -0.7, 'Reflected radiation': 38.2, 'Sunshine duration': 0.0, 'Diffuse radiation': 190.6, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.8}
Time: 2024-05-12 14:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 357.3, 'Long wave outgoing solar radiation': 392.3, 'Global radiation': 158.0, 'Direct solar radiation': 1.1, 'Reflected radiation': 34.8, 'Sunshine duration': 0.0, 'Diffuse radiation': 167.2, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.7}
Time: 2024-05-12 14:30:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 357.4, 'Long wave outgoing solar radiation': 385.5, 'Global radiation': 132.9, 'Direct solar radiation': -2.0, 'Reflected radiation': 27.9, 'Sunshine duration': 0.0, 'Diffuse radiation': 138.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.5}
Time: 2024-05-12 14:45:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 355.5, 'Long wave outgoing solar radiation': 386.2, 'Global radiation': 158.0, 'Direct solar radiation': 1.2, 'Reflected radiation': 33.4, 'Sunshine duration': 0.0, 'Diffuse radiation': 168.9, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.6}
Time: 2024-05-12 15:00:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 357.6, 'Long wave outgoing solar radiation': 379.4, 'Global radiation': 93.8, 'Direct solar radiation': -2.2, 'Reflected radiation': 19.4, 'Sunshine duration': 0.0, 'Diffuse radiation': 101.6, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.4}
Time: 2024-05-12 15:15:00, Station: Jokioinen Ilmala, Data: {'Long wave solar radiation ': 357.1, 'Long wave outgoing solar radiation': 373.9, 'Global radiation': 48.1, 'Direct solar radiation': -3.1, 'Reflected radiation': 9.9, 'Sunshine duration': 0.0, 'Diffuse radiation': 52.5, 'Radiation balance': nan, 'Ultraviolet irradiance': 0.2}
